sample_date,sample_time,distance
07/04/2023,02:32:54,6.536468015
07/04/2023,02:33:25,6.536468015
07/04/2023,02:33:56,6.536468015
07/04/2023,02:34:27,6.711427009
07/04/2023,02:34:58,6.711427009
07/04/2023,02:35:29,6.711427009
07/04/2023,02:36:00,6.711427009
07/04/2023,02:36:31,6.711427009
07/04/2023,02:37:02,6.896647727
07/04/2023,02:37:33,7.087556818
07/04/2023,02:38:04,7.087556818
07/04/2023,02:38:35,7.087556818
07/04/2023,02:39:06,7.087556818
07/04/2023,02:39:37,7.469375
07/04/2023,02:40:08,7.469375
07/04/2023,02:40:39,7.278465909
07/04/2023,02:41:10,7.230738636
07/04/2023,02:41:41,7.230738636
07/04/2023,02:42:12,7.326193182
07/04/2023,02:42:43,6.536468015
07/04/2023,02:43:14,6.536468015
07/04/2023,02:43:45,6.536468015
07/04/2023,02:44:16,6.667687261
07/04/2023,02:44:47,6.667687261
07/04/2023,02:45:18,6.580207764
07/04/2023,02:45:49,6.580207764
07/04/2023,02:46:20,6.492728267
07/04/2023,02:46:51,6.317769273
07/04/2023,02:47:22,6.40524877
07/04/2023,02:47:53,6.274029524
07/04/2023,02:48:24,6.230289776
07/04/2023,02:48:55,6.230289776
07/04/2023,02:50:36,6.230289776
07/04/2023,02:51:07,6.230289776
07/04/2023,02:51:38,6.230289776
07/04/2023,02:52:09,6.230289776
07/04/2023,02:52:40,6.186550027
07/04/2023,02:53:11,6.09907053
07/04/2023,02:53:42,6.09907053
07/04/2023,02:54:13,6.09907053
07/04/2023,02:54:44,6.09907053
07/04/2023,02:55:15,6.09907053
07/04/2023,02:55:46,6.142810279
07/04/2023,02:56:17,6.09907053
07/04/2023,02:56:48,6.09907053
07/04/2023,02:57:19,6.09907053
07/04/2023,02:57:50,6.09907053
07/04/2023,02:58:21,6.055330782
07/04/2023,02:58:52,6.055330782
07/04/2023,02:59:23,6.055330782
07/04/2023,02:59:54,6.011591033
07/04/2023,03:00:25,6.011591033
07/04/2023,03:00:56,6.011591033
07/04/2023,03:01:27,6.011591033
07/04/2023,03:01:58,6.011591033
07/04/2023,03:02:29,6.011591033
07/04/2023,03:03:00,6.011591033
07/04/2023,03:03:31,6.011591033
07/04/2023,03:04:02,6.011591033
07/04/2023,03:04:33,6.011591033
07/04/2023,03:05:04,6.011591033
07/04/2023,03:05:35,6.011591033
07/04/2023,03:06:06,6.011591033
07/04/2023,03:06:37,6.011591033
07/04/2023,03:07:08,6.011591033
07/04/2023,03:07:39,6.011591033
07/04/2023,03:08:10,6.011591033
07/04/2023,03:08:41,6.011591033
07/04/2023,03:09:12,6.011591033
07/04/2023,03:09:43,6.011591033
